IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,229.72,421.13,581.63,108.26,108.18
매출원가,0.0,0.0,0.0,38.90,26.39
매출총이익,229.72,421.13,581.63,69.36,81.79
판매비와관리비,212.55,377.45,567.09,99.24,76.65
인건비,60.69,111.92,141.35,53.60,32.27
유무형자산상각비,9.83,17.32,20.87,8.17,4.60
연구개발비,2.62,8.03,7.89,3.27,1.44
광고선전비,2.50,0.31,0.50,0.27,0.03
판매비,0.51,0.57,0.85,0.23,0.11
관리비,19.12,23.72,35.67,14.80,6.78
기타원가성비용,65.26,93.42,239.73,0.0,0.0
기타,52.01,122.16,120.23,18.91,31.44
영업이익,17.16,43.68,14.54,-29.88,5.13
영업이익(발표기준),17.16,43.68,14.54,-29.88,5.13
금융수익,0.87,6.01,14.00,3.91,0.37
이자수익,0.41,1.18,3.92,1.53,0.30
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.25,0.10,1.21,1.74,0.07
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.22,0.00,8.87,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.64,0.0
기타금융수익,0.0,4.72,0.0,0.0,0.0
금융원가,1.73,3.77,10.48,2.67,1.00
이자비용,0.87,3.12,4.01,2.15,0.76
외환손실,0.02,0.13,5.84,0.43,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.41,0.51,0.50,0.06,0.20
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.13,0.03,0.0
기타금융원가,0.43,0.0,0.0,0.0,0.0
기타수익,1.02,2.31,1.72,1.11,0.18
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.53,0.30,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.02,2.31,1.19,0.81,0.18
기타비용,0.67,3.61,3.88,0.19,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.38,3.01,1.45,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,2.41,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.29,0.61,0.01,0.19,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.03,-0.87,0.0
지분법손익,0.0,0.0,-0.03,-0.87,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,16.66,44.62,15.87,-28.59,4.69
법인세비용,-2.37,-12.21,-12.33,-2.58,-1.10
계속영업이익,19.03,56.82,28.20,-26.02,5.79
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,19.03,56.82,28.20,-26.02,5.79
지배주주순이익,19.54,57.65,28.03,-19.65,5.79
비지배주주순이익,-0.51,-0.83,0.17,-6.36,0.0
