IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,268.87,276.36,263.57,64.22,63.39
매출원가,218.16,210.51,199.70,48.10,49.18
매출총이익,50.70,65.85,63.88,16.12,14.21
판매비와관리비,28.58,31.28,34.62,10.18,8.12
인건비,15.49,15.65,17.45,4.92,4.01
유무형자산상각비,0.88,0.74,0.92,0.23,0.25
연구개발비,2.83,3.30,3.47,1.06,0.82
광고선전비,1.04,1.55,1.09,0.49,0.22
판매비,2.10,2.51,2.33,0.64,0.48
관리비,6.02,7.25,8.97,2.56,2.14
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.23,0.28,0.39,0.30,0.20
영업이익,22.13,34.57,29.25,5.93,6.09
영업이익(발표기준),22.13,34.57,29.25,5.93,6.09
금융수익,3.17,4.48,4.11,1.32,1.02
이자수익,1.71,4.13,4.05,1.32,1.01
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.0,0.04,0.0,0.01
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.34,0.0,0.00,0.0
금융자산평가이익,1.45,0.01,0.02,0.01,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,1.72,3.55,3.89,0.89,1.01
이자비용,1.66,3.35,3.56,0.85,0.92
외환손실,0.0,0.00,0.0,0.00,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.03,0.0,0.0,0.0
금융자산평가손실,0.06,0.18,0.33,0.04,0.09
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.63,0.36,0.26,0.00,0.19
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.53,0.25,0.15,0.0,0.15
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.10,0.11,0.11,0.00,0.05
기타비용,0.20,0.19,0.23,0.01,0.09
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.01,0.08,0.0,0.08
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.16,0.18,0.15,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,23.99,35.66,29.50,6.36,6.22
법인세비용,4.23,5.47,4.79,0.20,1.08
계속영업이익,19.76,30.19,24.71,6.17,5.14
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,19.76,30.19,24.71,6.17,5.14
