IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,259.33","1,834.50","2,827.97",751.06,495.19
매출원가,"1,084.53","1,552.43","2,332.26",620.75,437.33
매출총이익,174.80,282.07,495.70,130.31,57.86
판매비와관리비,59.26,75.51,147.45,35.23,39.33
인건비,31.41,39.75,66.28,17.96,17.08
유무형자산상각비,4.52,9.10,18.47,2.91,5.73
연구개발비,1.83,3.10,5.18,2.10,0.45
광고선전비,0.77,0.17,1.32,0.05,0.06
판매비,1.51,1.53,1.97,0.47,0.37
관리비,17.36,17.80,49.76,10.60,10.99
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.87,4.05,4.47,1.14,4.63
영업이익,115.54,206.56,348.25,95.08,18.53
영업이익(발표기준),115.54,206.56,348.25,95.08,18.53
금융수익,3.07,15.79,10.34,7.26,4.71
이자수익,2.12,12.88,5.77,6.00,3.74
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.89,2.65,4.24,1.27,0.97
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.05,0.26,0.32,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,10.05,14.19,12.46,2.48,4.46
이자비용,8.01,10.55,5.02,0.29,1.15
외환손실,1.86,3.65,7.44,2.19,3.31
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.18,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.30,0.54,0.79,0.05,0.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.17,0.23,0.20,0.02,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.13,0.32,0.60,0.03,0.12
기타비용,4.25,1.29,3.03,0.49,0.23
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.39,0.04,0.17,0.0,0.11
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.60,0.00,-0.00,0.0,-0.00
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.27,1.26,2.86,0.49,0.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,104.61,207.40,343.90,99.42,18.69
법인세비용,15.07,39.60,71.60,20.47,2.77
계속영업이익,89.54,167.81,272.29,78.96,15.92
중단영업이익,71.56,-22.49,-2.65,0.0,-0.86
당기순이익,161.09,145.31,269.64,78.96,15.06
