IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,541.69,625.21,740.96,130.25,122.31
매출원가,397.32,431.05,514.21,91.62,82.60
매출총이익,144.36,194.16,226.76,38.63,39.71
판매비와관리비,107.74,137.65,145.87,33.38,38.83
인건비,22.25,30.30,28.59,5.62,8.08
유무형자산상각비,7.17,34.71,41.90,9.21,11.29
연구개발비,4.69,4.78,7.33,1.69,1.52
광고선전비,30.50,26.72,25.90,5.87,6.49
판매비,3.90,3.35,3.32,4.27,4.06
관리비,30.82,29.66,31.87,4.94,5.40
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.42,8.13,6.97,1.76,1.98
영업이익,36.62,56.51,80.89,5.25,0.88
영업이익(발표기준),36.62,56.51,80.89,5.25,0.88
금융수익,15.14,13.69,13.54,3.10,3.38
이자수익,15.11,13.66,13.42,3.04,3.33
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.03,0.02,0.12,0.05,0.04
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.31,1.40,0.01,0.0,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.31,1.40,0.01,0.0,0.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.09,0.14,0.02,0.00,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.09,0.14,0.02,0.00,0.01
기타비용,11.43,18.52,22.76,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,11.25,18.46,22.75,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.18,0.06,0.01,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",9.83,11.25,11.31,3.03,1.93
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,9.83,11.25,11.31,3.03,1.93
세전계속사업이익,49.93,61.66,82.98,11.38,6.17
법인세비용,20.92,29.21,31.16,5.54,3.39
계속영업이익,29.01,32.45,51.83,5.84,2.79
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,29.01,32.45,51.83,5.84,2.79
지배주주순이익,29.33,22.59,52.06,5.94,2.80
비지배주주순이익,-0.31,9.86,-0.24,-0.10,-0.01
