IFRS(연결),2022/06,2023/06,2024/06,2025/03,전년동기
매출액,"1,013.76",716.17,694.20,383.34,433.62
매출원가,730.18,434.05,395.44,310.17,308.96
매출총이익,283.58,282.13,298.76,73.17,124.66
판매비와관리비,220.67,210.77,110.10,51.52,83.77
인건비,58.53,50.12,10.87,12.39,6.62
유무형자산상각비,1.60,7.40,5.46,0.20,5.36
연구개발비,93.17,97.50,49.39,-0.03,43.53
광고선전비,11.95,12.84,6.76,5.81,4.69
판매비,2.51,-2.03,0.91,-5.18,-3.17
관리비,8.37,8.35,10.31,10.17,9.50
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,44.55,36.58,26.40,28.16,17.25
영업이익,62.92,71.36,188.65,21.65,40.89
영업이익(발표기준),62.92,71.36,188.65,21.65,40.89
금융수익,2.88,2.30,68.32,1.66,1.80
이자수익,1.41,2.30,2.58,1.66,1.80
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,65.74,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,1.46,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.61,0.05,0.07,0.04,0.06
이자비용,0.54,0.03,0.05,0.03,0.04
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.08,0.02,0.02,0.01,0.02
기타수익,2.78,4.85,39.00,1.38,39.21
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,1.78,4.55,1.62,1.30,1.54
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,37.29,0.0,37.62
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.01,0.30,0.10,0.08,0.05
기타비용,8.15,5.53,5.34,3.46,4.87
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.20,3.92,2.90,2.98,2.44
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.91,0.0,0.32,0.0,0.32
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,1.61,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,2.12,0.36,2.11
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.04,0.00,0.0,0.11,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,2.36,2.85,3.82,5.34
지분법손익,0.0,2.36,2.85,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,3.82,5.34
세전계속사업이익,59.81,75.28,293.42,25.00,82.31
법인세비용,0.0,0.0,0.0,0.0,0.0
계속영업이익,59.81,75.28,293.42,25.00,82.31
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,59.81,75.28,293.42,25.00,82.31
지배주주순이익,59.81,75.28,293.49,25.00,82.38
비지배주주순이익,-0.00,-0.00,-0.07,0.0,-0.07
