IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,779.74,636.51,981.75,224.80,203.63
매출원가,477.87,380.25,650.73,165.54,127.22
매출총이익,301.86,256.26,331.03,59.26,76.41
판매비와관리비,109.10,93.24,142.63,33.11,30.73
인건비,24.32,21.29,25.38,6.77,0.0
유무형자산상각비,23.97,23.83,35.98,4.05,0.0
연구개발비,14.44,6.81,20.19,7.89,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,14.41,13.51,24.64,2.90,0.0
관리비,28.12,26.11,35.11,5.05,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.84,1.69,1.32,6.46,30.73
영업이익,192.77,163.02,188.40,26.15,45.68
영업이익(발표기준),192.77,163.02,188.40,26.15,45.68
금융수익,15.62,2.99,3.09,0.94,1.06
이자수익,3.66,2.65,2.62,1.32,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,11.96,0.34,0.47,-0.38,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,1.06
금융원가,11.93,0.16,2.34,1.15,0.74
이자비용,0.98,0.0,2.34,0.0,0.0
외환손실,10.94,0.16,0.01,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,1.15,0.74
기타수익,16.95,8.57,9.40,1.84,1.93
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,6.65,0.0,0.0,0.10,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.86,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,10.30,8.57,9.40,0.89,1.93
기타비용,39.39,16.79,2.76,0.16,0.30
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,14.42,0.12,2.46,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,24.62,16.58,0.0,0.16,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.35,0.09,0.31,0.00,0.30
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,174.02,157.63,195.79,27.63,47.64
법인세비용,19.69,44.22,57.19,7.72,12.28
계속영업이익,154.33,113.40,138.60,19.90,35.36
중단영업이익,0.0,-21.06,-53.75,0.0,0.0
당기순이익,154.33,92.34,84.85,19.90,35.36
지배주주순이익,143.71,75.41,70.01,18.02,31.87
비지배주주순이익,10.62,16.93,14.84,1.88,3.49
