IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,316.02",882.20,"1,171.33",185.85,200.49
매출원가,"1,063.17",758.83,981.13,172.70,179.98
매출총이익,252.85,123.36,190.21,13.15,20.51
판매비와관리비,209.55,116.92,116.66,25.89,22.38
인건비,30.61,17.07,17.94,5.03,3.90
유무형자산상각비,5.01,6.48,6.80,2.33,1.71
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,56.35,41.47,42.55,11.21,10.38
판매비,-2.24,1.50,1.46,-2.66,-0.76
관리비,78.05,25.24,29.13,6.42,5.01
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,41.77,25.17,18.78,3.57,2.15
영업이익,43.31,6.44,73.55,-12.74,-1.87
영업이익(발표기준),43.31,6.44,73.55,-12.74,-1.87
금융수익,7.92,4.98,5.18,0.78,1.01
이자수익,7.92,4.98,3.68,0.78,1.01
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.22,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,1.28,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,48.59,22.52,24.33,7.45,4.40
이자비용,25.39,21.66,23.71,7.38,4.36
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,22.50,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.13,0.0,0.0
기타금융원가,0.71,0.87,0.49,0.07,0.04
기타수익,31.70,21.74,21.19,21.27,4.56
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,15.24,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,5.95,5.72,5.87,1.55,1.43
로열티수익,21.37,11.99,13.74,4.37,3.00
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.01,0.01,0.00,0.00,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.37,4.03,1.57,0.11,0.13
기타비용,35.70,9.73,26.79,12.94,0.97
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,28.13,3.96,20.39,0.0,-0.47
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.58,0.0,0.39,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.00,5.77,6.01,12.94,1.44
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.11,0.0,2.59
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,-0.11,0.0,2.59
세전계속사업이익,-1.38,0.92,48.69,-11.08,0.91
법인세비용,18.17,2.22,19.81,-3.06,-0.26
계속영업이익,-19.55,-1.30,28.88,-8.03,1.17
중단영업이익,0.0,-6.99,-5.50,0.0,-0.42
당기순이익,-19.55,-8.29,23.38,-8.03,0.76
지배주주순이익,-19.55,-8.29,23.38,-8.03,0.76
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
