IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,685.97","1,748.85","1,969.03",497.55,447.95
매출원가,"1,114.34","1,134.50","1,359.17",337.16,276.99
매출총이익,571.64,614.34,609.86,160.39,170.96
판매비와관리비,358.40,371.56,406.24,100.59,95.70
인건비,70.47,75.51,84.78,21.77,19.44
유무형자산상각비,18.82,16.26,17.49,7.51,3.70
연구개발비,52.92,53.93,65.75,13.92,13.10
광고선전비,154.22,155.81,162.99,29.34,39.40
판매비,5.55,6.76,7.20,10.16,10.29
관리비,35.90,40.72,37.50,17.89,9.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,20.52,22.58,30.53,0.0,0.0
영업이익,213.23,242.78,203.61,59.80,75.26
영업이익(발표기준),213.23,242.78,203.61,59.80,75.26
금융수익,3.18,2.33,3.15,0.40,0.61
이자수익,3.15,2.33,2.44,0.40,0.61
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.03,0.00,0.71,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.63,13.97,16.97,4.01,3.83
이자비용,1.08,12.98,15.16,3.71,3.64
외환손실,0.75,0.15,0.57,0.04,0.03
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.81,0.83,1.25,0.27,0.16
기타수익,1.58,2.73,1.67,1.73,0.06
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.58,2.73,1.67,1.73,0.06
기타비용,21.91,26.71,36.90,13.61,3.66
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,21.51,26.19,8.37,13.61,3.56
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.40,0.52,28.54,0.0,0.09
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,193.45,207.16,154.57,44.31,68.44
법인세비용,29.99,50.76,11.58,9.80,10.93
계속영업이익,163.46,156.40,142.99,34.51,57.50
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,163.46,156.40,142.99,34.51,57.50
지배주주순이익,163.46,156.40,142.99,34.51,57.50
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
